name,seed,country
Carlos Alcaraz,1,ESP
Jannik Sinner,2,ITA
Novak Djokovic,3,SRB
Alexander Zverev,4,GER
Lorenzo Musetti,5,ITA
Alex de Minaur,6,AUS
Taylor Fritz,7,USA
Ben Shelton,8,USA
Felix Auger-Aliassime,9,CAN
Alexander Bublik,10,KAZ
Daniil Medvedev,11,RUS
Jakub Mensik,12,CZE
Casper Ruud,13,NOR
Jack Draper,14,GBR
Flavio Cobolli,15,ITA
Karen Khachanov,16,RUS
Andrey Rublev,17,RUS
Alejandro Davidovich Fokina,18,ESP
Francisco Cerundolo,19,ARG
Luciano Darderi,20,ITA
Frances Tiafoe,21,USA
Jiri Lehecka,22,CZE
Tommy Paul,23,USA
Valentin Vacherot,24,MON
Learner Tien,25,USA
Arthur Rinderknech,26,FRA
Cameron Norrie,27,GBR
Brandon Nakashima,28,USA
Tomas Martin Etcheverry,29,ARG
Arthur Fils,30,FRA
Corentin Moutet,31,FRA
Ugo Humbert,32,FRA
Terence Atmane,,FRA
Grigor Dimitrov,,BUL
Juan Manuel Cerundolo,,ARG
Botic van de Zandschulp,,NED
Nuno Borges,,POR
Emilio Nava,,USA
Alexander Shevchenko,,KAZ
Michael Zheng,,USA
Arthur Cazaux,,FRA
Matteo Arnaldi,,ITA
Sebastian Korda,,USA
Francisco Comesana,,ARG
Kamil Majchrzak,,POL
Giovanni Mpetshi Perricard,,FRA
Hubert Hurkacz,,POL
Aleksandar Kovacevic,,USA
Valentin Royer,,FRA
Fabian Marozsan,,HUN
Roberto Bautista Agut,,ESP
Alejandro Tabilo,,CHI
Rafael Jodar,,ESP
Sebastian Baez,,ARG
Alex Michelsen,,USA
Jacob Fearnley,,GBR
Damir Dzumhur,,BIH
Marton Fucsovics,,HUN
Mattia Bellucci,,ITA
Gabriel Diallo,,CAN
Gael Monfils,,FRA
Daniel Altmaier,,GER
Miomir Kecmanovic,,SRB
Jenson Brooksby,,USA
Alexei Popyrin,,AUS
Camilo Ugo Carabelli,,ARG
Martin Damm,,USA
Matteo Berrettini,,ITA
Adrian Mannarino,,FRA
Reilly Opelka,,USA
Ethan Quinn,,USA
Quentin Halys,,FRA
Adam Walton,,AUS
Zachary Svajda,,USA
Marin Cilic,,CRO
Mariano Navone,,ARG
Marcos Giron,,USA
Joao Fonseca,,BRA
Raphael Collignon,,BEL
Zizou Bergs,,BEL
Jan-Lennard Struff,,GER
Stefanos Tsitsipas,,GRE
Denis Shapovalov,,CAN
James Duckworth,,AUS
Qualifier 1,,,
Qualifier 2,,,
Qualifier 3,,,
Qualifier 4,,,
Qualifier 5,,,
Qualifier 6,,,
Qualifier 7,,,
Qualifier 8,,,
Qualifier 9,,,
Qualifier 10,,,
Qualifier 11,,,
Qualifier 12,,,
